"","p_year","Ctry_code","female_share_inventors"
"328",2007,"IL",0.171131547381048
"329",2008,"IL",0.169775649105117
"330",2009,"IL",0.160132523467697
"331",2010,"IL",0.16157372039725
"332",2011,"IL",0.153026970714203
"333",2012,"IL",0.153320795803227
"334",2013,"IL",0.159756934235029
"335",2014,"IL",0.165458207452165
"336",2015,"IL",0.161187599512972
"337",1990,"IT",0.098133241993492
"338",1991,"IT",0.106948341310447
"339",1992,"IT",0.120028283542514
"340",1993,"IT",0.10950808273944
"341",1994,"IT",0.114235780108039
"342",1995,"IT",0.110271231658515
"343",1996,"IT",0.118703631393987
"344",1997,"IT",0.131238885595732
"345",1998,"IT",0.136669238399647
"346",1999,"IT",0.132738664118084
"347",2000,"IT",0.147123366091022
"348",2001,"IT",0.150669642857143
"349",2002,"IT",0.158561821003621
"350",2003,"IT",0.16432441584829
"351",2004,"IT",0.167819665759813
"352",2005,"IT",0.175262894341512
"353",2006,"IT",0.170927530107754
"354",2007,"IT",0.17257066149601
"355",2008,"IT",0.181618946624249
"356",2009,"IT",0.187527036770007
"357",2010,"IT",0.187395750235695
"358",2011,"IT",0.181106182423066
"359",2012,"IT",0.194707127734651
"360",2013,"IT",0.193449477351916
"361",2014,"IT",0.193434617471514
"362",2015,"IT",0.177043777316042
"363",1990,"KR",0.301730103806228
"364",1991,"KR",0.293568973981345
"365",1992,"KR",0.32139848357203
"366",1993,"KR",0.315653669724771
"367",1994,"KR",0.304478301015697
"368",1995,"KR",0.287221033323143
"369",1996,"KR",0.297319701575021
"370",1997,"KR",0.312478710116952
"371",1998,"KR",0.325334933013397
"372",1999,"KR",0.316551909147814
"373",2000,"KR",0.321979691372831
"374",2001,"KR",0.316897573960917
"375",2002,"KR",0.322051513782196
"376",2003,"KR",0.32632579759138
"377",2004,"KR",0.324777777777778
"378",2005,"KR",0.331839297803301
"379",2006,"KR",0.338731591865358
"380",2007,"KR",0.333333333333333
"381",2008,"KR",0.32700914787241
"382",2009,"KR",0.33346054190853
"383",2010,"KR",0.33531399912778
"384",2011,"KR",0.337266040346661
"385",2012,"KR",0.344193177462629
"386",2013,"KR",0.354742334937544
"387",2014,"KR",0.354557383132977
"388",2015,"KR",0.35937255125447
"389",1990,"NL",0.0730581902076391
"390",1991,"NL",0.0754817987152034
"391",1992,"NL",0.0604451188669702
"392",1993,"NL",0.0714285714285714
"393",1994,"NL",0.0747619047619048
"394",1995,"NL",0.0783238691991384
"395",1996,"NL",0.0781172584640793
"396",1997,"NL",0.075283243887895
"397",1998,"NL",0.0794719471947195
"398",1999,"NL",0.083846518237802
"399",2000,"NL",0.0984392532898092
"400",2001,"NL",0.106007067137809
"401",2002,"NL",0.0856669123065586
"402",2003,"NL",0.0833484162895928
"403",2004,"NL",0.0902243963040609
"404",2005,"NL",0.0901533494753834
"405",2006,"NL",0.0917288302319862
"406",2007,"NL",0.106791038270421
"407",2008,"NL",0.109605185621685
"408",2009,"NL",0.105323693723299
"409",2010,"NL",0.120308435525827
"410",2011,"NL",0.113864752550057
"411",2012,"NL",0.124239858363482
"412",2013,"NL",0.129160823677024
"413",2014,"NL",0.134388449257254
"414",2015,"NL",0.134592235931387
"415",1990,"NO",0.092814371257485
"416",1991,"NO",0.08125
"417",1992,"NO",0.073943661971831
"418",1993,"NO",0.116412213740458
"419",1994,"NO",0.0869565217391304
"420",1995,"NO",0.133333333333333
"421",1996,"NO",0.143018018018018
"422",1997,"NO",0.0991735537190083
"423",1998,"NO",0.121813031161473
"424",1999,"NO",0.133064516129032
"425",2000,"NO",0.116555308092056
"426",2001,"NO",0.0977630488815244
"427",2002,"NO",0.122655122655123
"428",2003,"NO",0.1125
"429",2004,"NO",0.123087159015303
"430",2005,"NO",0.122368421052632
"431",2006,"NO",0.136660724896019
"432",2007,"NO",0.15514235909355
"433",2008,"NO",0.127851140456182
"434",2009,"NO",0.143638170974155
"435",2010,"NO",0.134843581445523
"436",2011,"NO",0.121951219512195
"437",2012,"NO",0.141115799343647
"438",2013,"NO",0.136631865637767
"439",2014,"NO",0.135518590998043
"440",2015,"NO",0.170625
"441",1990,"PL",0.188235294117647
"442",1991,"PL",0.261363636363636
"443",1992,"PL",0.183673469387755
"444",1993,"PL",0.20625
"445",1994,"PL",0.154761904761905
"446",1995,"PL",0.159090909090909
"447",1996,"PL",0.189393939393939
"448",1997,"PL",0.14018691588785
"449",1998,"PL",0.236641221374046
"450",1999,"PL",0.0844155844155844
"451",2000,"PL",0.172222222222222
"452",2001,"PL",0.204
"453",2002,"PL",0.216138328530259
"454",2003,"PL",0.23728813559322
"455",2004,"PL",0.243506493506494
"456",2005,"PL",0.224358974358974
"457",2006,"PL",0.191176470588235
"458",2007,"PL",0.174757281553398
"459",2008,"PL",0.209641255605381
"460",2009,"PL",0.195525291828794
"461",2010,"PL",0.222140762463343
"462",2011,"PL",0.193548387096774
"463",2012,"PL",0.239649293716512
"464",2013,"PL",0.234042553191489
"465",2014,"PL",0.216387505658669
"466",2015,"PL",0.194249907851087
"467",1991,"PT",0.387096774193548
"468",1992,"PT",0.1875
"469",1993,"PT",0.147058823529412
"470",1996,"PT",0.125
"471",1997,"PT",0.194805194805195
"472",1998,"PT",0.142857142857143
"473",1999,"PT",0.240740740740741
"474",2000,"PT",0.182795698924731
"475",2001,"PT",0.186046511627907
"476",2002,"PT",0.230088495575221
"477",2003,"PT",0.244897959183673
"478",2004,"PT",0.253456221198157
"479",2005,"PT",0.216049382716049
"480",2006,"PT",0.303125
"481",2007,"PT",0.21978021978022
"482",2008,"PT",0.297916666666667
"483",2009,"PT",0.257294429708223
"484",2010,"PT",0.303303303303303
"485",2011,"PT",0.278145695364238
"486",2012,"PT",0.256842105263158
"487",2013,"PT",0.273703041144902
"488",2014,"PT",0.302469135802469
"489",2015,"PT",0.329928498467824
"490",1990,"SE",0.0935569285083848
"491",1991,"SE",0.0971867007672634
"492",1992,"SE",0.0951689066472939
"493",1993,"SE",0.104187604690117
"494",1994,"SE",0.100960219478738
"495",1995,"SE",0.0878025628856194
"496",1996,"SE",0.104095255276926
"497",1997,"SE",0.100668278117446
"498",1998,"SE",0.11332503113325
"499",1999,"SE",0.103467879476976
"500",2000,"SE",0.115756980496703
"501",2001,"SE",0.12700554805818
"502",2002,"SE",0.12515664160401
"503",2003,"SE",0.130266343825666
"504",2004,"SE",0.114059522064213
"505",2005,"SE",0.137220626794856
"506",2006,"SE",0.130410342889264
"507",2007,"SE",0.128374264258169
"508",2008,"SE",0.11170053047743
"509",2009,"SE",0.119864420706656
"510",2010,"SE",0.121849573328041
"511",2011,"SE",0.127300037551633
"512",2012,"SE",0.118113454307667
"513",2013,"SE",0.117718446601942
"514",2014,"SE",0.12373675129406
"515",2015,"SE",0.13181096808323
"516",1996,"SK",0.157894736842105
"517",1997,"SK",0.233333333333333
"518",1998,"SK",0.272727272727273
"519",1999,"SK",0.105263157894737
"520",2000,"SK",0.101694915254237
"521",2001,"SK",0.229166666666667
"522",2002,"SK",0.191176470588235
"523",2003,"SK",0.280487804878049
"524",2004,"SK",0.122448979591837
"525",2005,"SK",0.177083333333333
"526",2006,"SK",0.241666666666667
"527",2007,"SK",0.261194029850746
"528",2008,"SK",0.146788990825688
"529",2009,"SK",0.116279069767442
"530",2010,"SK",0.093167701863354
"531",2011,"SK",0.181818181818182
"532",2012,"SK",0.173652694610778
"533",2013,"SK",0.192825112107623
"534",2014,"SK",0.172839506172839
"535",2015,"SK",0.158163265306122
"536",1990,"US",0.0894236298491618
"537",1991,"US",0.0935665717440576
"538",1992,"US",0.0933411826268969
"539",1993,"US",0.0998550245440903
"540",1994,"US",0.101952730307956
"541",1995,"US",0.108197655776836
"542",1996,"US",0.110198205033149
"543",1997,"US",0.116069031082856
"544",1998,"US",0.1185274783066
"545",1999,"US",0.1212495107697
"546",2000,"US",0.127942083669253
"547",2001,"US",0.134077751627699
"548",2002,"US",0.131587184587578
"549",2003,"US",0.132952069006016
"550",2004,"US",0.133663778207278
"551",2005,"US",0.135199641830197
"552",2006,"US",0.139749636212452
"553",2007,"US",0.142825734821027
"554",2008,"US",0.144119117007536
"555",2009,"US",0.144895813584737
"556",2010,"US",0.146346521109472
"557",2011,"US",0.14761882737462
"558",2012,"US",0.147880517971465
"559",2013,"US",0.152189632108751
"560",2014,"US",0.157596693222284
"561",2015,"US",0.159123006595664
